Imobilizado;Subnº;Incorporação em;Denominação do imobilizado;Nº inventário;Nº de série;Centro custo;Link;QRCODE
10000002;0;10/08/2004;TERRENO 15.629,63 M2;;;100005001;https://videplast.com.br/consulta-imobilizado?id=10000002&nome=TERRENO%2015.629,63%20M2;#BLOQUEADO!
11000074;0;31/05/2008;FRETE TRANSPORTE 4 ARMADILHA ADESIVA LAT LX 90/220;;;100005002;https://videplast.com.br/consulta-imobilizado?id=11000074&nome=FRETE%20TRANSPORTE%204%20ARMADILHA%20ADESIVA%20LAT%20LX%2090/220;#BLOQUEADO!
11000075;0;31/05/2008;ARMADILHA ADESIVA LATERAL LX 90/220;;;100005002;https://videplast.com.br/consulta-imobilizado?id=11000075&nome=ARMADILHA%20ADESIVA%20LATERAL%20LX%2090/220;#BLOQUEADO!
11000158;0;07/08/2019;AMPLIAÇÃO BARRACÃO 300M2 P/ EXTRUSAO 11000027;;;100005002;https://videplast.com.br/consulta-imobilizado?id=11000158&nome=AMPLIAÇÃO%20BARRACÃO%20300M2%20P/%20EXTRUSAO%2011000027;#BLOQUEADO!
11000158;2;14/10/2019;COBRANÇA DE MÃO DE OBRA PARA APLICAÇÃO DO BARRACÃO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=11000158&nome=COBRANÇA%20DE%20MÃO%20DE%20OBRA%20PARA%20APLICAÇÃO%20DO%20BARRACÃO;#BLOQUEADO!
20000076;0;03/06/2004;MAQUINA EXTRUSORA CARNEVALLI P. MAGNUM 75 Nº 005;10000357;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=MAQUINA%20EXTRUSORA%20CARNEVALLI%20P.%20MAGNUM%2075%20Nº%20005;#BLOQUEADO!
20000076;1;11/06/2004;FRETE SOBRE IMOBILIZADO NR 12138;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=FRETE%20SOBRE%20IMOBILIZADO%20NR%2012138;#BLOQUEADO!
20000076;2;11/06/2004;FRETE SOBRE IMOBILIZADO NR.12139 TRANSP. PAGNO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=FRETE%20SOBRE%20IMOBILIZADO%20NR.12139%20TRANSP.%20PAGNO;#BLOQUEADO!
20000076;3;11/06/2004;FRETE SOBRE IMOBILIZADO NR.12140 TRANSP. PAGNO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=FRETE%20SOBRE%20IMOBILIZADO%20NR.12140%20TRANSP.%20PAGNO;#BLOQUEADO!
20000076;4;11/06/2004;FRETE SOBRE IMOBILIZADO NR.12141 TRANSP. PAGNO;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=FRETE%20SOBRE%20IMOBILIZADO%20NR.12141%20TRANSP.%20PAGNO;#BLOQUEADO!
20000076;5;31/10/2010;SERVICO EM INVERSOR DE FREQUENCIA CWF09 142;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=SERVICO%20EM%20INVERSOR%20DE%20FREQUENCIA%20CWF09%20142;#BLOQUEADO!
20000076;6;31/12/2011;SUB CONJUNTO ROSCA FL/FC MAG. 75-FG E BUCHA;;;100005002;https://videplast.com.br/consulta-imobilizado?id=20000076&nome=SUB%20CONJUNTO%20ROSCA%20FL/FC%20MAG.%2075-FG%20E%20BUCHA;#BLOQUEADO!
